"Name","Path","State","Enabled","Trigger","LastRunTime","NextRunTime","LastResult","Author","Description","Execute","Arguments"
"ASUS Optimization 36D18D69AFC3","\","Ready","True","Event","30-11-1999 00:00:00",,"267011","ASUSTek Computer Inc.",,"""C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_cfd6e6fcf484217d\ASUSOptimization\AsusHotkey.exe""","-CancelShutdown"
"ASUS Update Checker 2.0","\","Ready","True","Logon, Registration","27-06-2026 18:54:03",,"0","ASUSTeK COMPUTER INC.",,"""C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_cfd6e6fcf484217d\ASUSSoftwareManager\AsusUpdateChecker.exe""",
"AsusSystemAnalysis_754F3273-0563-4F20-B12F-826510B07474","\","Ready","True","Time","27-06-2026 12:01:00","28-06-2026 00:00:00","0","ASUSTeK COMPUTER INC.",,"""C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_cfd6e6fcf484217d\ASUSSystemAnalysis\AsusSystemAnalysis.exe""","-j0"
"AsusSystemDiagnosis_DriverQuality","\","Ready","True","Time","27-06-2026 12:04:02","28-06-2026 12:04:02","0","ASUSTeK COMPUTER INC.",,"""C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_cfd6e6fcf484217d\ASUSSystemDiagnosis\AsusSystemDiagnosis.exe""","-datacollection"
"Microsoft Office 15 Sync Maintenance for DESKTOP-MD2B5C0-admin DESKTOP-MD2B5C0","\","Ready","True","Logon, Idle, Time","21-06-2026 19:18:55",,"0","Microsoft Office","Lightweight task keeps Microsoft Office Document Cache in good shape. Disabling this task may lead to unexpected issues when working with documents from online sources as well as higher disk usage.","C:\Program Files\Microsoft Office\Office15\MsoSync.exe",
"MicrosoftEdgeUpdateTaskMachineCore{F63A356F-AC90-4685-B4C7-7EF86FD162A4}","\","Ready","True","Logon, Daily","27-06-2026 11:38:06","28-06-2026 10:25:53","0",,"Keeps your Microsoft software up to date. If this task is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself when there is no Microsoft software using it.","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","/c"
"MicrosoftEdgeUpdateTaskMachineUA{1FBCE9D6-162A-42D8-A108-5E41AB27B340}","\","Ready","True","Daily","27-06-2026 19:38:07","27-06-2026 19:55:53","0",,"Keeps your Microsoft software up to date. If this task is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself when there is no Microsoft software using it.","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","/ua /installsource scheduler"
"npcapwatchdog","\","Ready","True","Boot","21-06-2026 19:17:55",,"0",,"Ensure Npcap service is configured to start at boot","C:\Program Files\Npcap\CheckStatus.bat",
"RtkAudUService64_BG","\","Running","True","Logon","21-06-2026 19:06:12",,"267009","Realtek",,"""""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_be03f2dca68bf962\RtkAudUService64.exe""""","-background"
"windows-system-clean-lite","\","Ready","True","Time","27-06-2026 19:41:01","27-06-2026 19:51:00","0","DESKTOP-MD2B5C0\admin",,"powershell.exe","-NoProfile -ExecutionPolicy Bypass -File G:\Coder\projects\utility\windows-system-cleanup-lite\windows-system-cleanup-lite.ps1"
